ID,Gender,State,Zip,Zip3,Weeks Since First Purchase,Weeks Since Last Purchase,Book Purchase ($),Nonbook Purchase($),Total Purchase ($),No. of Purchases,No. of Childbook Purchases,No. of Youthbook Purchases,No. of Cookbook Purchases,No. of Do It Purchases,No. of Referncebook Purchases,No. of Artbook Purchases,No. of Geographybook Purchases,Response
22647,M,MA,2563,25,45,1,142,124,266,12,3,0,2,1,2,1,3,No
46170,M,NY,11024,110,63,1,138,125,263,12,3,0,2,2,2,3,0,No
59696,M,NY,11354,113,37,1,128,134,262,12,4,3,3,0,1,1,0,No
20373,M,NY,14618,146,69,1,139,121,260,12,4,0,2,3,1,0,2,No
12222,M,NY,12303,123,69,1,131,122,253,12,2,1,5,1,1,0,2,No
14404,F,PA,19136,191,37,1,142,109,251,12,2,1,1,1,1,3,3,Yes
46075,M,NJ,7950,79,37,1,134,115,249,12,3,2,0,2,2,3,0,Yes
22377,F,NY,11558,115,37,1,136,109,245,12,4,2,3,1,1,0,1,No
48502,M,NY,11040,110,69,1,125,120,245,12,5,2,2,3,0,0,0,No
33233,M,MA,2343,23,51,1,127,117,244,12,7,1,1,0,2,0,1,No
10293,M,NJ,8751,87,33,1,145,98,243,12,3,0,4,1,1,1,2,No
16567,M,PA,15017,150,53,1,147,96,243,12,1,2,0,3,1,0,5,No
17587,M,PA,18103,181,65,1,133,108,241,12,3,3,1,2,2,1,0,No
27434,M,MA,2146,21,41,1,130,111,241,12,2,0,5,2,2,1,0,No
41906,M,PA,19149,191,65,1,141,100,241,12,2,0,4,2,1,1,2,No
56936,M,NJ,7716,77,35,1,137,100,237,12,1,1,4,2,0,3,1,Yes
37215,M,PA,16238,162,55,1,145,90,235,12,1,0,4,2,2,1,2,No
12981,M,PA,15425,154,31,1,126,104,230,12,1,4,4,2,0,0,1,No
29979,F,MA,2382,23,39,1,127,101,228,12,6,0,4,1,0,0,1,No
48504,F,NY,10021,100,31,1,127,100,227,12,3,1,4,1,1,2,0,No
23341,M,NY,11710,117,61,1,137,87,224,12,2,0,5,1,3,0,1,No
34917,M,MA,2339,23,29,1,140,73,213,12,5,0,1,2,0,2,2,No
20776,F,PA,19073,190,41,1,129,83,212,12,6,2,1,1,0,0,2,No
26360,M,NH,3743,37,27,1,137,66,203,12,1,3,2,2,0,2,2,No
10320,F,NY,11372,113,25,1,138,58,196,12,3,2,2,1,0,0,4,No
19324,F,NY,10708,107,45,1,135,60,195,12,7,0,1,0,0,3,1,Yes
15103,F,NJ,8638,86,69,1,143,50,193,12,2,1,1,0,2,3,3,Yes
43591,F,CT,6708,67,27,1,141,46,187,12,2,0,3,1,1,3,2,No
40122,F,PA,19022,190,69,1,139,46,185,12,3,0,3,1,1,1,3,No
38619,M,NY,10605,106,29,1,129,53,182,12,3,1,5,2,0,0,1,No
46392,F,NY,11784,117,73,1,132,50,182,12,2,4,3,1,0,1,1,No
27099,M,DE,19810,198,43,1,132,330,462,11,3,1,0,1,1,2,3,Yes
43315,F,PA,19132,191,51,1,118,341,459,11,2,2,2,1,1,3,0,Yes
51578,M,PA,15650,156,55,1,122,326,448,11,4,1,3,1,0,2,0,No
56868,F,NJ,7018,70,33,1,130,316,446,11,4,0,2,1,1,1,2,No
13846,M,MA,1944,19,23,1,124,313,437,11,1,1,4,2,1,0,2,No
55433,M,NY,11040,110,29,1,121,310,431,11,1,1,5,2,0,1,1,No
47792,M,MA,1201,12,41,1,126,297,423,11,3,2,2,0,0,0,4,Yes
43800,F,NJ,8854,88,61,1,122,291,413,11,1,3,4,1,1,1,0,No
56700,M,NY,11379,113,27,1,117,293,410,11,5,2,2,1,0,0,1,No
13068,M,MA,1945,19,45,1,120,288,408,11,2,2,3,3,0,0,1,No
51318,F,PA,19152,191,43,1,129,277,406,11,3,2,0,0,2,4,0,Yes
31504,M,CT,6052,60,41,1,120,285,405,11,1,2,3,2,2,1,0,No
14592,F,PA,18042,180,37,1,122,275,397,11,5,0,3,0,1,2,0,No
18149,M,NY,11743,117,35,1,132,260,392,11,1,0,2,3,1,1,3,No
22330,M,NY,11433,114,61,1,125,266,391,11,4,1,2,1,1,1,1,Yes
18324,M,NJ,7974,79,29,1,125,257,382,11,4,0,3,2,0,1,1,No
45727,M,PA,19053,190,25,1,125,250,375,11,2,0,2,3,2,0,2,No
28926,F,CT,6108,61,47,1,121,249,370,11,5,1,2,1,0,1,1,No
17966,F,NY,11001,110,57,1,135,233,368,11,2,0,0,1,3,0,5,Yes
35690,M,NY,11550,115,29,1,134,234,368,11,0,1,2,2,1,1,4,No
18947,F,PA,19468,194,41,1,119,245,364,11,5,3,1,0,0,0,2,No
22770,F,MA,2176,21,65,1,118,241,359,11,4,1,4,1,0,0,1,No
17487,M,NJ,7728,77,51,1,134,215,349,11,1,0,3,1,2,1,3,Yes
24675,M,NJ,7083,70,37,1,118,229,347,11,5,2,2,0,1,0,1,No
51858,M,DE,19703,197,49,1,119,224,343,11,2,2,3,2,0,0,2,No
46463,M,NY,12065,120,47,1,123,211,334,11,3,1,3,2,1,0,1,No
38119,M,NJ,7081,70,61,1,125,208,333,11,1,2,1,5,1,0,1,No
48648,M,CT,6385,63,51,1,123,204,327,11,1,2,3,2,1,0,2,No
49136,M,RI,2814,28,25,1,128,178,306,11,3,3,0,1,1,1,2,No
33220,F,NJ,8831,88,33,1,117,181,298,11,3,0,5,1,0,1,1,No
25347,M,NJ,8360,83,29,1,128,159,287,11,4,1,2,0,1,1,2,No
36497,M,MA,1834,18,45,1,132,148,280,11,0,0,4,2,2,1,2,No
31246,M,NJ,8550,85,55,1,128,150,278,11,2,1,1,2,2,2,1,No
46864,M,NY,11374,113,53,1,117,159,276,11,2,2,3,2,1,0,1,No
44160,M,NJ,8857,88,29,1,128,145,273,11,3,2,0,1,1,1,3,Yes
37512,M,NY,11598,115,55,1,120,149,269,11,4,1,1,2,1,0,2,No
57658,F,PA,19030,190,27,1,121,147,268,11,2,2,4,1,1,0,1,No
29879,M,PA,18940,189,39,1,124,143,267,11,1,0,3,6,1,0,0,No
10043,F,MA,2791,27,45,1,128,132,260,11,1,2,3,1,0,1,3,No
20027,M,MA,1129,11,53,1,126,134,260,11,0,3,4,2,0,1,1,No
44781,F,MD,21228,212,37,1,131,128,259,11,1,0,4,1,1,1,3,Yes
11826,M,MD,20721,207,37,1,124,134,258,11,3,0,2,3,1,0,2,No
34871,M,NY,10542,105,37,1,123,135,258,11,1,0,4,5,1,0,0,No
17165,F,NJ,7666,76,37,1,121,135,256,11,4,2,3,0,0,1,1,Yes
33059,F,NJ,7436,74,29,1,124,127,251,11,3,1,1,2,1,2,1,Yes
15040,M,NJ,7712,77,57,1,128,122,250,11,1,1,2,4,1,1,1,No
48052,M,PA,19525,195,31,1,127,113,240,11,1,3,4,2,0,0,1,No
28019,M,NY,13148,131,57,1,116,119,235,11,4,1,2,2,1,0,1,No
42253,M,MD,20902,209,25,1,128,107,235,11,2,0,2,1,1,2,3,No
33817,M,MA,1742,17,53,1,126,103,229,11,3,0,1,4,2,1,0,No
43979,M,NY,10039,100,25,1,131,96,227,11,3,1,1,0,4,1,1,No
20454,M,NJ,7060,70,45,1,131,95,226,11,2,0,1,3,0,2,3,No
21063,F,NY,11758,117,51,1,128,96,224,11,1,2,2,1,0,1,4,Yes
51027,M,NJ,7924,79,23,1,121,96,217,11,2,3,1,3,1,1,0,No
32695,M,PA,15419,154,51,1,132,84,216,11,0,3,1,2,3,0,2,Yes
22841,F,PA,19422,194,61,1,131,82,213,11,0,0,3,1,5,1,1,Yes
56768,F,MD,20906,209,43,1,121,88,209,11,3,3,2,1,1,0,1,No
27264,F,MA,2172,21,63,1,118,89,207,11,2,2,4,1,0,0,2,No
11779,M,PA,19115,191,53,1,132,71,203,11,1,0,2,3,2,0,3,No
10497,M,MD,20906,209,45,1,122,80,202,11,2,1,3,3,1,1,0,No
51123,M,NJ,7035,70,33,1,116,81,197,11,6,0,3,1,0,1,0,No
40930,M,PA,19609,196,39,1,125,67,192,11,2,1,1,3,1,1,2,No
59402,M,NY,11514,115,25,1,129,62,191,11,3,0,1,5,1,1,0,No
16164,F,PA,18104,181,29,1,131,55,186,11,4,0,1,1,2,2,1,Yes
51397,M,NJ,7751,77,33,1,122,58,180,11,1,2,3,1,2,2,0,No
32327,M,NY,14626,146,23,1,127,50,177,11,2,0,3,2,0,2,2,No
51400,M,NJ,7018,70,57,1,132,43,175,11,1,0,3,3,2,0,2,No
20927,F,CT,6460,64,31,1,134,38,172,11,0,4,2,0,1,2,2,Yes
37258,F,MD,20817,208,49,1,126,46,172,11,2,0,3,1,3,0,2,No
58243,M,MD,21009,210,61,1,117,53,170,11,2,1,3,3,2,0,0,No
14778,M,PA,16056,160,51,1,126,43,169,11,1,3,1,1,2,2,1,Yes
10818,M,NY,11772,117,47,1,132,33,165,11,1,0,3,2,0,0,5,Yes
52868,M,MA,2703,27,31,1,124,41,165,11,3,1,2,3,0,1,1,No
58807,M,NY,11229,112,23,1,126,39,165,11,2,1,1,3,0,2,2,No
45615,F,NJ,7666,76,41,1,114,327,441,10,1,3,4,0,0,0,2,No
37981,F,NY,10021,100,21,1,116,324,440,10,5,0,1,0,2,0,2,No
32150,M,CT,6906,69,21,1,119,320,439,10,3,0,3,0,1,1,2,No
54924,M,NJ,7726,77,23,1,114,301,415,10,5,0,3,1,0,0,1,No
27159,M,PA,19126,191,33,1,117,295,412,10,3,2,0,1,0,0,4,No
58878,M,PA,19403,194,39,1,110,296,406,10,1,0,5,2,1,1,0,No
57564,M,MA,2194,21,33,1,109,294,403,10,4,0,4,1,0,0,1,No
35631,M,NJ,7930,79,29,1,115,286,401,10,2,1,2,2,0,1,2,No
32555,F,MD,20904,209,61,1,115,285,400,10,4,0,3,0,3,0,0,No
52103,F,PA,19135,191,35,1,120,276,396,10,3,0,1,0,1,3,2,Yes
45583,M,CT,6854,68,45,1,109,280,389,10,2,1,3,2,0,1,1,No
25862,F,NY,10980,109,25,1,118,269,387,10,4,0,3,1,1,0,1,No
25940,M,MA,2081,20,41,1,130,251,381,10,0,0,0,3,3,2,2,Yes
57325,F,NY,11803,118,57,1,114,263,377,10,0,2,4,0,2,1,1,No
37610,F,NJ,7001,70,47,1,119,256,375,10,4,1,0,1,0,3,1,Yes
16110,F,NY,11501,115,25,1,112,262,374,10,4,3,0,0,0,3,0,Yes
52765,F,NY,12020,120,55,1,109,265,374,10,4,2,2,1,0,0,1,No
21919,F,NY,11236,112,23,1,113,256,369,10,3,1,1,0,3,1,1,No
19043,F,PA,18360,183,25,1,107,261,368,10,4,2,3,0,0,1,0,No
15952,M,PA,15701,157,21,1,113,247,360,10,2,1,1,3,0,1,2,Yes
29037,M,MA,2171,21,41,1,115,245,360,10,1,1,2,1,1,3,1,Yes
57624,F,NY,10901,109,55,1,108,251,359,10,3,0,3,2,1,1,0,Yes
46832,M,MA,1902,19,21,1,114,243,357,10,3,1,1,0,3,0,2,Yes
51710,F,NY,13209,132,31,1,108,247,355,10,4,0,4,1,0,1,0,No
22429,M,MA,2139,21,33,1,106,246,352,10,3,2,2,1,1,0,1,No
25334,M,NJ,7047,70,59,1,109,242,351,10,3,1,1,2,2,1,0,No
20695,F,DE,19720,197,51,1,115,231,346,10,2,2,2,0,0,2,2,No
23858,M,MA,1880,18,45,1,109,233,342,10,4,1,2,0,0,1,2,Yes
27283,F,NJ,7047,70,57,1,120,218,338,10,2,0,1,2,2,1,2,Yes
17211,F,NJ,7108,71,23,1,129,207,336,10,3,0,0,0,0,2,5,Yes
35329,F,MA,1821,18,47,1,110,216,326,10,1,1,6,1,1,0,0,No
35832,F,NJ,7922,79,61,1,112,214,326,10,2,1,3,0,1,2,1,Yes
42263,F,PA,19064,190,51,1,122,201,323,10,1,0,3,1,1,1,3,No
44569,M,NY,11235,112,51,1,109,213,322,10,3,1,2,2,0,1,1,No
28189,F,NJ,7901,79,33,1,116,202,318,10,2,1,3,0,0,1,3,No
30792,F,NY,11372,113,47,1,113,203,316,10,3,0,2,1,2,1,1,Yes
47986,F,MD,21044,210,23,1,115,198,313,10,4,0,4,1,0,1,0,No
42394,M,RI,2908,29,57,1,109,203,312,10,3,2,0,3,0,1,1,No
34177,M,NJ,8512,85,23,1,116,194,310,10,3,0,5,1,0,0,1,No
28979,F,MD,21228,212,51,1,111,198,309,10,2,1,3,1,0,2,1,No
23396,M,RI,2863,28,39,1,115,188,303,10,3,3,1,0,0,1,2,Yes
42359,F,NY,12019,120,35,1,117,184,301,10,1,1,3,1,0,2,2,Yes
46168,F,NY,10310,103,29,1,106,194,300,10,3,1,3,1,1,1,0,No
28250,M,MA,1930,19,45,1,113,173,286,10,2,0,3,1,2,1,1,No
55267,M,NJ,8859,88,51,1,112,174,286,10,2,0,3,2,1,1,1,No
24920,F,NY,10033,100,37,1,110,171,281,10,3,2,1,1,1,0,2,No
56794,F,NY,11414,114,37,1,113,167,280,10,1,2,4,1,0,2,0,No
26984,F,NJ,8003,80,27,1,119,159,278,10,1,0,6,0,0,3,0,No
44853,F,MD,20854,208,53,1,113,162,275,10,2,2,1,1,0,0,4,No
46934,F,NY,11581,115,55,1,113,156,269,10,5,0,2,1,0,0,2,No
58662,F,NY,10530,105,57,1,101,165,266,10,3,4,1,0,1,1,0,No
26762,M,PA,18966,189,43,1,112,146,258,10,2,3,2,0,0,0,3,No
22325,F,NH,3053,30,57,1,116,136,252,10,4,1,1,0,1,3,0,No
54273,M,NJ,7701,77,45,1,122,130,252,10,4,0,0,3,1,1,1,No
44910,M,PA,15215,152,23,1,115,128,243,10,1,1,3,2,0,1,2,No
17714,F,NJ,8755,87,39,1,117,121,238,10,1,0,4,1,1,1,2,No
32105,F,NY,11040,110,23,1,112,126,238,10,3,0,5,0,0,0,2,No
31864,M,NY,10314,103,49,1,113,124,237,10,4,0,2,2,1,1,0,No
23879,F,NY,11209,112,55,1,114,122,236,10,4,0,3,1,0,1,1,No
46456,M,NJ,7726,77,41,1,109,127,236,10,2,2,3,0,0,2,1,Yes
20835,F,PA,19333,193,51,1,110,125,235,10,3,2,2,0,0,1,2,Yes
35772,F,MD,20628,206,57,1,113,122,235,10,2,1,2,0,1,1,3,No
46975,F,NY,11211,112,47,1,115,116,231,10,1,2,3,0,0,2,2,Yes
16643,F,PA,16602,166,51,1,99,126,225,10,7,1,2,0,0,0,0,No
47157,M,MD,21114,211,57,1,114,110,224,10,3,0,1,2,2,1,1,Yes
24292,M,MD,20906,209,27,1,115,104,219,10,3,0,2,1,1,1,2,Yes
22009,F,RI,2919,29,29,1,118,100,218,10,3,1,0,1,1,1,3,No
28915,M,NJ,8310,83,59,1,113,96,209,10,3,2,1,1,0,0,3,Yes
40021,M,MA,1821,18,59,1,103,105,208,10,2,2,2,3,1,0,0,No
31668,M,MA,2167,21,57,1,109,93,202,10,3,1,2,1,1,2,0,Yes
36927,M,NJ,7040,70,47,1,114,83,197,10,3,0,4,1,0,1,1,No
11631,F,PA,15241,152,31,1,117,79,196,10,2,0,1,1,3,1,2,No
59196,F,ME,4918,49,55,1,111,79,190,10,1,2,3,0,2,2,0,No
50933,F,NH,3304,33,39,1,116,73,189,10,5,1,1,0,0,0,3,No
55772,M,MA,1905,19,45,1,117,70,187,10,1,0,3,1,0,4,1,Yes
17301,F,MD,21093,210,35,1,113,73,186,10,1,2,3,0,1,2,1,No
23204,M,NY,10580,105,53,1,117,69,186,10,1,0,4,1,0,3,1,Yes
50560,F,NH,3079,30,57,1,109,73,182,10,3,1,3,0,1,1,1,No
46798,F,MA,1701,17,25,1,112,52,164,10,1,1,5,0,1,0,2,No
25166,M,NJ,7090,70,29,1,110,53,163,10,3,1,2,1,1,1,1,Yes
48467,F,CT,6811,68,37,1,108,51,159,10,2,2,2,1,0,0,3,No
25280,M,NY,10010,100,25,1,113,42,155,10,1,2,2,2,1,1,1,No
25468,F,NH,3833,38,23,1,110,45,155,10,3,0,4,0,0,1,2,No
17844,M,NY,11236,112,31,1,114,39,153,10,2,1,3,0,1,0,3,No
17470,M,NY,12873,128,35,1,108,44,152,10,4,1,2,0,1,0,2,No
18403,F,VT,5452,54,19,1,95,336,431,9,4,1,3,0,1,0,0,No
15160,F,RI,2881,28,29,1,106,323,429,9,3,0,2,0,1,0,3,No
32390,M,MA,1930,19,55,1,96,333,429,9,5,0,3,0,1,0,0,No
10752,F,NY,10016,100,21,1,104,324,428,9,2,1,1,0,0,2,3,Yes
43866,F,MA,1036,10,43,1,108,320,428,9,1,0,2,1,2,2,1,No
59014,F,NJ,7044,70,35,1,102,326,428,9,3,0,2,0,2,1,1,Yes
17066,F,NY,10308,103,33,1,106,315,421,9,1,0,3,3,1,0,1,No
41003,M,MA,2638,26,29,1,106,311,417,9,4,0,1,3,0,1,0,Yes
51171,F,NJ,8619,86,51,1,114,303,417,9,0,1,4,0,0,1,3,No
46247,M,MA,1119,11,41,1,103,311,414,9,1,0,4,2,0,0,2,No
13541,F,PA,17403,174,41,1,105,299,404,9,1,1,1,3,0,1,2,No
21556,F,NY,11021,110,33,1,99,304,403,9,2,2,1,0,1,0,3,No
57318,F,NY,10930,109,43,1,105,293,398,9,1,1,1,2,1,2,1,Yes
53515,F,NJ,7003,70,41,1,103,293,396,9,2,1,2,1,0,2,1,No
31210,F,MA,2359,23,47,1,98,297,395,9,3,1,4,0,0,1,0,No
59138,M,DE,19810,198,51,1,101,292,393,9,3,2,0,0,1,2,1,Yes
37318,F,MD,21236,212,51,1,101,287,388,9,2,0,5,0,1,1,0,No
28182,F,NY,10507,105,23,1,107,279,386,9,2,1,1,1,0,2,2,Yes
27306,F,PA,18966,189,47,1,103,278,381,9,1,0,4,1,1,1,1,No
29494,F,PA,19006,190,25,1,101,280,381,9,3,0,2,1,1,1,1,No
26999,M,NJ,7090,70,29,1,98,276,374,9,2,1,2,0,1,3,0,Yes
12964,M,NY,12603,126,35,1,109,257,366,9,0,1,3,1,0,2,2,No
20552,F,NY,11209,112,41,1,98,266,364,9,3,1,1,2,0,2,0,No
20359,F,NJ,7012,70,25,1,100,262,362,9,2,0,3,1,2,0,1,Yes
26109,F,CT,6902,69,37,1,106,255,361,9,1,1,0,3,1,2,1,No
51972,F,MD,20852,208,21,1,102,258,360,9,1,0,3,2,2,1,0,No
37118,F,NY,12527,125,25,1,102,251,353,9,2,1,1,0,1,3,1,Yes
49683,F,NY,11710,117,45,1,103,248,351,9,2,0,2,2,2,0,1,No
16032,F,MD,21236,212,45,1,96,254,350,9,2,1,3,1,1,1,0,No
17037,F,PA,15501,155,29,1,107,243,350,9,1,2,0,1,2,2,1,Yes
58783,M,MA,2341,23,39,1,106,243,349,9,2,1,0,0,1,2,3,Yes
10185,F,NJ,7901,79,25,1,102,239,341,9,1,3,3,0,1,0,1,No
50184,F,NY,13156,131,39,1,105,236,341,9,3,0,2,0,0,2,2,Yes
57111,F,NY,11040,110,23,1,99,242,341,9,2,1,3,1,0,0,2,No
45055,F,MD,21144,211,51,1,95,243,338,9,3,1,2,2,0,1,0,No
46994,F,CT,6418,64,41,1,109,225,334,9,2,0,1,2,0,2,2,Yes
15070,F,MD,21223,212,25,1,90,242,332,9,3,2,3,1,0,0,0,No
58914,F,PA,16803,168,39,1,106,225,331,9,1,0,1,3,2,1,1,No
15832,F,NJ,7662,76,33,1,96,234,330,9,4,0,1,3,0,0,1,No
24709,F,NJ,8822,88,33,1,106,222,328,9,4,0,2,0,0,2,1,No
49629,M,NJ,7631,76,53,1,106,222,328,9,0,1,4,0,2,0,2,No
44358,M,MA,2130,21,25,1,102,225,327,9,2,1,1,0,2,0,3,Yes
46044,M,PA,17112,171,27,1,102,222,324,9,3,0,3,0,0,1,2,No
27490,F,NY,11746,117,21,1,100,219,319,9,3,0,4,1,0,1,0,No
35175,F,PA,18372,183,27,1,105,212,317,9,4,0,1,1,1,2,0,No
53143,F,NJ,8533,85,31,1,106,210,316,9,0,1,3,2,1,0,2,No
27972,F,MA,1960,19,39,1,96,219,315,9,2,3,1,0,2,1,0,No
20045,M,NY,10940,109,23,1,103,208,311,9,1,1,3,0,2,1,1,Yes
43204,F,NJ,8648,86,27,1,109,199,308,9,1,0,2,1,2,1,2,No
17604,F,NY,10707,107,29,1,103,204,307,9,1,1,2,1,2,2,0,No
50934,F,NJ,7981,79,33,1,99,207,306,9,2,2,1,1,2,1,0,No
57391,M,CT,6040,60,53,1,104,201,305,9,2,1,0,1,1,1,3,Yes
38569,F,MD,21234,212,47,1,107,194,301,9,0,0,4,1,1,3,0,Yes
50828,F,MA,2645,26,53,1,98,202,300,9,5,1,1,1,0,0,1,No
53818,F,MD,21214,212,33,1,102,198,300,9,3,0,2,1,0,2,1,No
29729,F,PA,19087,190,39,1,107,191,298,9,3,0,1,1,1,0,3,No
14567,F,NJ,7828,78,25,1,107,186,293,9,0,1,2,2,0,1,3,No
52874,F,NJ,7458,74,21,1,104,186,290,9,1,2,2,1,0,1,2,No
36189,F,NJ,7109,71,49,1,107,182,289,9,1,0,3,0,3,0,2,No
18469,F,NY,11733,117,35,1,101,187,288,9,1,1,2,3,0,1,1,No
40802,F,MA,1906,19,35,1,99,185,284,9,2,0,2,3,1,0,1,No
44204,M,NY,10706,107,21,1,107,175,282,9,1,0,1,3,1,2,1,No
34285,M,NY,11725,117,53,1,99,169,268,9,2,1,2,2,1,1,0,No
11445,M,NJ,8831,88,51,1,104,159,263,9,3,0,4,1,1,0,0,No
